"Time","Cuisine"
2020-06-12 21:49:56,0
2020-06-13 21:18:18,1
2020-06-13 21:42:19,0
2020-06-13 21:42:19,0
2020-06-15 21:55:51,0
2020-06-15 21:55:51,0
2020-06-15 22:03:58,0
2020-06-16 20:59:15,1
2020-06-16 21:19:34,0
2020-06-16 21:19:34,0
2020-06-17 21:21:09,0
2020-06-17 21:21:09,0
2020-06-17 21:47:35,0
2020-06-18 19:06:32,1
2020-06-18 21:11:49,0
2020-06-18 21:11:49,0
2020-06-19 21:51:59,0
2020-06-19 21:51:59,0
2020-06-20 01:13:42,0
2020-06-20 20:48:05,1
2020-06-20 21:56:32,0
2020-06-20 21:56:32,0
2020-06-22 22:22:16,1
2020-06-22 22:22:17,0
2020-06-22 22:22:17,0
2020-06-24 21:43:48,1
2020-06-24 21:44:52,0
2020-06-24 21:44:52,0
2020-06-25 22:28:58,1
2020-06-25 22:45:22,0
2020-06-25 22:45:22,0
2020-06-26 19:42:04,1
2020-06-26 21:26:05,0
2020-06-26 21:26:05,0
2020-06-27 19:42:06,1
2020-06-27 21:26:07,0
2020-06-27 21:26:07,0
2020-06-28 22:00:59,0
2020-06-28 22:00:59,0
2020-06-28 22:04:35,0
2020-06-29 22:04:35,1
2020-06-29 22:14:42,0
2020-06-29 22:14:42,0
2020-06-30 18:25:38,0
2020-06-30 18:25:39,0
2020-06-30 18:25:39,0
2020-07-02 21:26:33,1
2020-07-02 21:28:02,0
2020-07-02 21:28:02,0
2020-07-03 20:07:28,1
2020-07-03 20:27:19,0
2020-07-03 20:27:19,0
2020-07-04 08:58:46,1
2020-07-04 08:58:56,0
2020-07-04 08:58:56,0
2020-07-06 22:00:06,1
2020-07-06 22:02:17,0
2020-07-06 22:02:17,0
2020-07-09 22:50:21,1
2020-07-09 22:54:12,0
2020-07-09 22:54:12,0
2020-07-10 19:42:07,1
2020-07-10 21:26:04,0
2020-07-10 21:26:04,0
2020-07-11 19:42:07,1
2020-07-11 21:26:03,0
2020-07-11 21:26:03,0
2020-07-12 19:42:07,1
2020-07-12 21:26:03,0
2020-07-12 21:26:03,0
2020-07-13 19:35:41,0
2020-07-13 19:35:41,0
2020-07-13 21:57:05,0
2020-07-14 22:02:36,0
2020-07-14 22:02:36,0
2020-07-15 00:08:36,0
2020-07-15 19:22:22,1
2020-07-15 21:40:12,0
2020-07-15 21:40:13,0
2020-07-16 19:22:04,1
2020-07-16 20:53:52,0
2020-07-16 20:53:52,0
2020-07-17 19:21:05,1
2020-07-17 22:19:04,0
2020-07-17 22:19:04,0
2020-07-18 22:24:12,1
2020-07-18 22:36:18,0
2020-07-18 22:36:18,0
2020-07-19 22:46:58,0
2020-07-19 22:46:58,0
2020-07-19 22:51:49,0
2020-07-20 21:28:15,0
2020-07-20 21:28:15,0
2020-07-20 22:31:34,0
2020-07-21 22:04:33,0
2020-07-21 22:04:33,0
2020-07-21 22:25:23,0
2020-07-22 19:16:05,1
2020-07-22 22:52:01,0
2020-07-22 22:52:02,0
2020-07-24 07:45:18,1
2020-07-24 09:18:52,0
2020-07-24 09:18:52,0
2020-07-24 21:58:38,0
2020-07-24 21:58:38,0
2020-07-24 21:59:48,0
2020-07-25 20:33:05,1
2020-07-25 20:33:05,1
2020-07-26 01:55:40,0
2020-07-26 02:55:40,0
2020-07-26 18:12:04,1
2020-07-26 19:12:04,1
2020-08-01 16:47:21,0
2020-08-01 16:53:21,0
2020-08-01 22:31:00,0
2020-08-02 21:30:06,1
2020-08-02 22:12:07,0
2020-08-02 22:12:07,0
2020-08-03 08:25:08,1
2020-08-03 09:20:16,0
2020-08-03 09:20:16,0
2020-08-03 14:29:36,0
2020-08-03 14:29:37,0
2020-08-03 14:29:37,0
2020-08-05 19:00:09,1
2020-08-05 19:00:09,1
2020-08-06 18:58:04,0
2020-08-06 18:58:04,0
2020-08-07 18:57:04,1
2020-08-07 18:57:04,1
2020-08-08 18:55:07,0
2020-08-08 18:55:07,0
2020-08-12 20:44:05,1
2020-08-12 21:56:08,0
2020-08-12 21:56:08,0
2020-08-13 22:33:12,1
2020-08-13 22:33:32,0
2020-08-13 22:33:32,0
2020-08-15 21:00:34,0
2020-08-15 21:00:34,0
2020-08-15 22:23:41,0
2020-08-16 20:43:38,0
2020-08-16 20:43:38,0
2020-08-16 21:24:44,0
2020-08-17 20:51:52,1
2020-08-17 20:54:25,0
2020-08-17 20:54:25,0
2020-08-18 21:02:52,1
2020-08-18 23:19:15,0
2020-08-18 23:19:15,0
2020-08-19 21:53:07,0
2020-08-19 21:53:07,0
2020-08-19 22:12:33,0
2020-08-22 21:52:19,1
2020-08-22 21:52:20,0
2020-08-22 21:52:20,0
2020-08-23 08:56:48,1
2020-08-23 09:53:37,0
2020-08-23 09:53:37,0
2020-08-23 20:58:32,0
2020-08-23 20:58:32,0
2020-08-23 21:02:35,0
2020-08-24 21:28:45,1
2020-08-24 21:30:55,0
2020-08-24 21:30:55,0
2020-08-25 22:32:51,0
2020-08-25 22:32:51,0
2020-08-25 22:38:43,0
2020-08-26 03:06:59,1
2020-08-26 03:09:05,0
2020-08-26 03:09:05,0
2020-08-26 22:30:11,0
2020-08-26 22:30:11,0
2020-08-26 22:32:17,0
2020-08-27 06:59:29,1
2020-08-27 08:04:44,0
2020-08-27 08:04:44,0
2020-08-27 20:28:32,1
2020-08-27 21:37:07,0
2020-08-27 21:37:07,0
2020-08-28 21:22:32,0
2020-08-28 21:22:32,0
2020-08-28 21:26:31,0
2020-08-29 07:18:08,1
2020-08-29 10:12:51,0
2020-08-29 10:12:52,0
2020-08-29 18:00:09,1
2020-08-29 21:15:44,0
2020-08-29 21:15:44,0
2020-08-30 21:52:17,1
2020-08-30 22:16:27,0
2020-08-30 22:16:28,0
2020-09-01 19:05:08,1
2020-09-01 21:25:23,0
2020-09-01 21:25:23,0
2020-09-02 19:18:11,1
2020-09-02 22:06:42,0
2020-09-02 22:06:42,0
2020-09-03 19:12:12,1
2020-09-03 21:30:24,0
2020-09-03 21:30:24,0
2020-09-04 05:42:53,1
2020-09-04 05:43:10,0
2020-09-04 05:43:10,0
2020-09-05 00:15:55,0
2020-09-05 00:15:55,0
2020-09-05 00:21:13,0
2020-09-05 18:13:05,0
2020-09-05 18:13:05,0
2020-09-05 21:20:22,0
2020-09-06 20:51:37,1
2020-09-06 20:51:38,0
2020-09-06 20:51:38,0
2020-09-07 07:03:35,1
2020-09-07 08:00:00,0
2020-09-07 08:00:00,0
2020-09-07 20:44:42,0
2020-09-07 20:44:43,0
2020-09-07 20:44:46,0
2020-09-09 18:39:17,1
2020-09-09 21:25:14,0
2020-09-09 21:25:14,0
2020-09-10 07:01:11,0
2020-09-10 07:01:11,0
2020-09-10 08:03:47,0
2020-09-10 21:13:50,0
2020-09-10 21:13:50,0
2020-09-10 21:32:49,0
2020-09-11 07:12:36,1
2020-09-11 10:40:55,0
2020-09-11 10:40:55,0
2020-09-11 19:22:26,0
2020-09-11 19:55:01,0
2020-09-11 19:55:01,0
2020-09-12 19:38:50,1
2020-09-12 21:26:58,0
2020-09-12 21:26:58,0
2020-09-13 19:59:10,1
2020-09-13 21:02:27,0
2020-09-13 21:02:27,0
2020-09-14 07:03:32,1
2020-09-14 08:02:24,0
2020-09-14 08:02:24,0
2020-09-14 19:39:01,1
2020-09-14 20:25:21,0
2020-09-14 20:25:21,0
2020-09-15 07:02:02,1
2020-09-15 07:39:01,0
2020-09-15 07:39:01,0
2020-09-15 20:56:32,0
2020-09-15 20:56:32,0
2020-09-16 01:53:41,0
2020-09-16 19:37:18,1
2020-09-16 20:15:40,0
2020-09-16 20:15:41,0
2020-09-17 07:02:17,1
2020-09-17 07:16:37,0
2020-09-17 07:16:37,0
2020-09-17 19:31:29,1
2020-09-17 20:28:56,0
2020-09-17 20:28:56,0
2020-09-18 07:04:52,1
2020-09-18 08:35:52,0
2020-09-18 08:35:52,0
2020-09-18 21:45:40,1
2020-09-18 22:01:55,0
2020-09-18 22:01:55,0
2020-09-19 19:43:35,1
2020-09-19 20:46:45,0
2020-09-19 20:46:45,0
2020-09-20 18:54:34,1
2020-09-20 20:25:11,0
2020-09-20 20:25:11,0
2020-09-21 07:01:08,1
2020-09-21 08:17:26,0
2020-09-21 08:17:26,0
2020-09-21 19:46:16,0
2020-09-21 19:46:16,0
2020-09-21 20:42:37,0
2020-09-22 06:58:26,1
2020-09-22 08:14:15,0
2020-09-22 08:14:15,0
2020-09-22 18:35:22,1
2020-09-22 21:17:52,0
2020-09-22 21:17:52,0
2020-09-23 07:32:36,1
2020-09-23 08:53:45,0
2020-09-23 08:53:45,0
2020-09-23 18:34:27,1
2020-09-23 21:01:57,0
2020-09-23 21:01:57,0
2020-09-24 07:04:15,1
2020-09-24 08:02:13,0
2020-09-24 08:02:13,0
2020-09-24 20:36:09,0
2020-09-24 20:36:09,0
2020-09-24 20:39:53,0
2020-09-25 08:09:45,0
2020-09-25 08:09:45,0
2020-09-25 08:14:48,0
2020-09-25 16:38:19,0
2020-09-25 16:38:19,0
2020-09-25 19:00:38,0
2020-09-26 07:35:10,1
2020-09-26 09:00:26,0
2020-09-26 09:00:26,0
2020-09-26 18:47:22,1
2020-09-26 21:18:33,0
2020-09-26 21:18:33,0
2020-09-27 07:21:45,1
2020-09-27 12:12:26,0
2020-09-27 12:12:26,0
2020-09-27 21:09:10,0
2020-09-27 21:09:10,0
2020-09-27 21:15:20,0
2020-09-28 09:05:33,0
2020-09-28 09:05:33,0
2020-09-28 12:53:33,0
2020-09-28 18:38:00,1
2020-09-28 21:14:56,0
2020-09-28 21:14:57,0
2020-09-29 04:23:35,0
2020-09-29 04:23:35,0
2020-09-29 08:19:57,0
2020-09-29 20:30:52,0
2020-09-29 20:30:52,0
2020-09-29 21:52:39,0
2020-09-30 07:57:21,1
2020-09-30 09:01:27,0
2020-09-30 09:01:27,0
2020-09-30 19:00:15,0
2020-09-30 19:00:15,0
2020-09-30 19:01:25,0
2020-10-01 07:45:30,1
2020-10-01 08:14:21,0
2020-10-01 08:14:21,0
2020-10-01 16:48:49,0
2020-10-01 16:48:49,0
2020-10-01 20:53:50,0
2020-10-02 08:18:08,0
2020-10-02 08:18:08,0
2020-10-02 09:27:08,0
2020-10-02 19:09:50,1
2020-10-02 21:28:02,0
2020-10-02 21:28:02,0
2020-10-03 17:24:35,1
2020-10-03 22:29:09,0
2020-10-03 22:29:10,0
2020-10-04 06:56:40,1
2020-10-04 07:05:49,0
2020-10-04 07:05:49,0
2020-10-04 19:01:51,1
2020-10-04 22:07:55,0
2020-10-04 22:07:55,0
2020-10-05 07:05:11,1
2020-10-05 09:42:04,0
2020-10-05 09:42:04,0
2020-10-05 20:49:23,0
2020-10-05 20:49:23,0
2020-10-05 21:17:31,0
2020-10-06 08:40:16,0
2020-10-06 08:40:16,0
2020-10-06 08:41:17,0
2020-10-06 18:44:25,1
2020-10-06 20:57:15,0
2020-10-06 20:57:15,0
2020-10-07 07:56:27,0
2020-10-07 07:56:27,0
2020-10-07 08:34:13,0
2020-10-07 18:29:40,1
2020-10-07 21:18:24,0
2020-10-07 21:18:24,0
2020-10-08 07:04:53,1
2020-10-08 08:10:57,0
2020-10-08 08:10:57,0
2020-10-08 18:30:15,1
2020-10-08 21:07:47,0
2020-10-08 21:07:47,0
2020-10-09 07:04:28,1
2020-10-09 08:47:42,0
2020-10-09 08:47:42,0
2020-10-09 19:00:17,1
2020-10-09 20:55:31,0
2020-10-09 20:55:31,0
2020-10-10 08:34:58,1
2020-10-10 12:17:54,0
2020-10-10 12:17:54,0
2020-10-10 19:51:35,0
2020-10-10 19:51:36,0
2020-10-10 20:33:46,0
2020-10-11 07:38:14,1
2020-10-11 09:32:26,0
2020-10-11 09:32:26,0
2020-10-11 17:54:35,1
2020-10-11 20:37:22,0
2020-10-11 20:37:22,0
2020-10-12 07:00:26,1
2020-10-12 08:16:20,0
2020-10-12 08:16:20,0
2020-10-12 17:04:32,0
2020-10-12 17:04:32,0
2020-10-12 20:25:24,0
2020-10-13 06:47:40,1
2020-10-13 08:18:13,0
2020-10-13 08:18:13,0
2020-10-13 18:22:34,1
2020-10-13 20:49:14,0
2020-10-13 20:49:14,0
2020-10-14 07:33:06,1
2020-10-14 09:02:50,0
2020-10-14 09:02:50,0
2020-10-14 21:10:52,0
2020-10-14 21:10:52,0
2020-10-14 22:10:01,0
2020-10-15 08:22:06,0
2020-10-15 08:22:06,0
2020-10-15 10:46:29,0
2020-10-15 17:27:37,0
2020-10-15 17:27:37,0
2020-10-15 20:53:25,0
2020-10-16 08:20:42,0
2020-10-16 08:20:42,0
2020-10-16 12:49:51,0
2020-10-16 19:30:20,0
2020-10-16 19:30:20,0
2020-10-16 19:55:06,0
2020-10-17 07:42:42,1
2020-10-17 11:19:17,0
2020-10-17 11:19:17,0
2020-10-17 20:25:05,0
2020-10-17 20:25:05,0
2020-10-17 21:24:47,0
2020-10-18 07:35:37,1
2020-10-18 08:39:27,0
2020-10-18 08:39:28,0
2020-10-18 18:37:26,1
2020-10-18 21:32:55,0
2020-10-18 21:32:55,0
2020-10-19 07:29:32,1
2020-10-19 08:33:53,0
2020-10-19 08:33:53,0
2020-10-19 16:43:05,1
2020-10-19 21:01:46,0
2020-10-19 21:01:46,0
2020-10-20 08:03:21,1
2020-10-20 12:46:14,0
2020-10-20 12:46:14,0
2020-10-20 19:14:48,1
2020-10-20 21:34:28,0
2020-10-20 21:34:28,0
2020-10-21 08:00:59,1
2020-10-21 10:18:29,0
2020-10-21 10:18:29,0
2020-10-21 19:08:25,0
2020-10-21 19:08:25,0
2020-10-21 22:35:10,0
2020-10-22 11:39:22,1
2020-10-22 12:50:17,0
2020-10-22 12:50:17,0
2020-10-22 14:57:03,1
2020-10-22 23:56:20,0
2020-10-22 23:56:20,0
2020-10-23 08:30:59,0
2020-10-23 08:30:59,0
2020-10-23 13:02:45,0
2020-10-23 14:20:55,0
2020-10-23 14:20:55,0
2020-10-23 20:43:31,0
2020-10-24 09:29:14,1
2020-10-24 14:48:57,0
2020-10-24 21:05:19,0
2020-10-24 21:05:27,0
2020-10-25 21:20:39,0
2020-10-25 21:24:49,0
2020-10-25 21:29:53,0
2020-10-26 06:41:15,1
2020-10-26 08:47:05,0
2020-10-26 12:33:37,0
2020-10-26 20:13:11,0
2020-10-26 20:13:11,0
2020-10-26 20:32:23,0
2020-10-27 07:20:12,1
2020-10-27 09:31:57,0
2020-10-27 09:31:57,0
2020-10-27 17:27:00,0
2020-10-27 17:27:00,0
2020-10-27 20:52:34,0
2020-10-28 07:05:06,0
2020-10-28 07:05:06,0
2020-10-28 10:16:56,0
2020-10-28 17:25:36,0
2020-10-28 17:25:36,0
2020-10-28 21:29:46,0
2020-10-29 06:51:34,1
2020-10-29 08:43:05,0
2020-10-29 08:43:05,0
2020-10-29 21:56:36,0
2020-10-29 21:56:36,0
2020-10-29 22:00:42,0
2020-10-30 16:45:28,1
2020-10-30 21:42:57,0
2020-10-30 21:42:57,0
2020-10-31 18:53:44,1
2020-10-31 20:59:41,0
2020-10-31 20:59:41,0
2020-11-01 21:04:51,0
2020-11-01 21:04:51,0
2020-11-01 22:11:56,0
2020-11-02 07:13:14,1
2020-11-02 08:19:49,0
2020-11-02 08:19:49,0
2020-11-03 15:39:07,1
2020-11-03 21:38:07,0
2020-11-03 21:38:07,0
2020-11-04 07:40:06,1
2020-11-04 12:41:43,0
2020-11-04 12:41:43,0
2020-11-04 17:23:22,0
2020-11-04 17:23:22,0
2020-11-04 17:23:57,0
2020-11-05 07:10:17,0
2020-11-05 07:10:17,0
2020-11-05 08:02:46,0
