"Time","Porte entrée"
2020-05-16 07:15:20,0
2020-05-16 08:20:55,0
2020-05-16 15:52:08,0
2020-05-16 15:54:27,0
2020-05-16 18:49:36,0
2020-05-17 08:13:56,0
2020-05-17 09:02:00,0
2020-05-17 10:01:51,0
2020-05-17 17:11:04,0
2020-05-17 17:15:53,0
2020-05-17 17:27:21,0
2020-05-18 08:03:31,0
2020-05-18 08:03:31,0
2020-05-18 08:04:46,0
2020-05-18 14:13:40,0
2020-05-18 14:13:40,0
2020-05-18 14:22:19,0
2020-05-19 08:00:12,0
2020-05-19 08:00:13,0
2020-05-19 09:27:16,0
2020-05-19 15:20:53,0
2020-05-19 15:20:53,0
2020-05-19 15:35:19,0
2020-05-20 08:03:23,0
2020-05-20 08:03:23,0
2020-05-20 08:04:23,0
2020-05-20 14:22:15,0
2020-05-20 14:22:15,0
2020-05-20 14:33:57,0
2020-05-21 07:44:58,0
2020-05-21 07:44:58,0
2020-05-21 08:03:40,0
2020-05-21 14:03:59,0
2020-05-21 14:03:59,0
2020-05-21 14:13:32,0
2020-05-22 08:07:31,0
2020-05-22 08:07:31,0
2020-05-22 09:04:01,0
2020-05-22 14:32:11,0
2020-05-22 14:32:11,0
2020-05-22 14:46:33,0
2020-05-23 08:06:13,0
2020-05-23 08:06:13,0
2020-05-23 08:08:13,0
2020-05-23 14:21:33,0
2020-05-23 14:21:33,0
2020-05-23 14:22:39,0
2020-05-24 07:53:13,0
2020-05-24 07:53:13,0
2020-05-24 08:06:36,0
2020-05-24 14:55:16,0
2020-05-24 14:55:16,0
2020-05-24 14:55:52,0
2020-05-25 08:47:03,0
2020-05-25 08:47:03,0
2020-05-25 08:54:35,0
2020-05-25 15:40:46,0
2020-05-25 15:40:46,0
2020-05-25 15:40:52,0
2020-05-26 07:38:32,0
2020-05-26 07:38:33,0
2020-05-26 07:45:58,0
2020-05-26 15:08:18,0
2020-05-26 15:08:18,0
2020-05-26 18:32:09,0
2020-05-27 08:05:52,0
2020-05-27 08:05:52,0
2020-05-27 08:09:07,0
2020-05-27 14:44:44,0
2020-05-27 14:44:44,0
2020-05-27 14:58:34,0
2020-05-28 07:57:07,0
2020-05-28 07:57:07,0
2020-05-28 10:37:26,0
2020-05-28 14:18:06,0
2020-05-28 14:18:06,0
2020-05-28 14:45:27,0
2020-05-29 09:42:49,0
2020-05-29 09:42:49,0
2020-05-29 10:41:25,0
2020-05-29 17:41:56,0
2020-05-29 17:41:56,0
2020-05-29 19:51:39,0
2020-05-30 08:08:26,1
2020-05-30 08:27:36,0
2020-05-30 08:27:36,0
2020-05-30 15:19:18,0
2020-05-30 15:19:18,0
2020-05-30 15:53:23,0
2020-05-31 08:22:12,0
2020-05-31 08:22:12,0
2020-05-31 08:40:37,0
2020-05-31 19:39:14,1
2020-05-31 21:44:19,0
2020-05-31 21:44:19,0
2020-06-01 09:39:57,0
2020-06-01 09:39:58,0
2020-06-01 10:00:49,0
2020-06-01 14:27:00,0
2020-06-01 14:27:00,0
2020-06-01 14:29:04,0
2020-06-02 06:51:55,0
2020-06-02 06:51:55,0
2020-06-02 08:20:53,0
2020-06-02 14:13:41,0
2020-06-02 14:13:41,0
2020-06-02 16:41:39,0
2020-06-03 12:13:04,0
2020-06-03 12:13:05,0
2020-06-03 13:14:54,0
2020-06-03 14:01:26,0
2020-06-03 14:01:26,0
2020-06-03 14:46:33,0
2020-06-04 08:19:26,0
2020-06-04 08:19:26,0
2020-06-04 08:35:50,0
2020-06-04 15:42:30,0
2020-06-04 15:42:30,0
2020-06-04 15:43:39,0
2020-06-05 08:23:25,0
2020-06-05 08:23:25,0
2020-06-05 08:25:30,0
2020-06-05 15:22:01,0
2020-06-05 15:22:01,0
2020-06-05 16:02:11,0
2020-06-06 08:32:11,0
2020-06-06 08:53:23,0
2020-06-06 09:14:54,0
2020-06-06 16:01:52,0
2020-06-06 16:34:23,0
2020-06-06 16:34:40,0
2020-06-07 07:16:19,0
2020-06-07 07:16:20,0
2020-06-07 07:17:19,0
2020-06-07 17:11:01,0
2020-06-07 17:11:01,0
2020-06-07 18:40:15,0
2020-06-08 08:11:45,0
2020-06-08 08:11:45,0
2020-06-08 08:18:30,0
2020-06-08 14:31:46,0
2020-06-08 14:36:37,0
2020-06-08 14:36:37,0
2020-06-09 08:18:18,0
2020-06-09 08:18:18,0
2020-06-09 09:23:03,0
2020-06-09 16:11:11,0
2020-06-09 16:11:11,0
2020-06-09 16:29:14,0
2020-06-10 08:48:50,0
2020-06-10 08:48:50,0
2020-06-10 08:56:02,0
2020-06-10 14:37:22,0
2020-06-10 14:37:22,0
2020-06-10 14:50:05,0
2020-06-11 08:18:13,0
2020-06-11 08:18:13,0
2020-06-11 08:25:18,0
2020-06-11 15:08:26,0
2020-06-11 15:08:26,0
2020-06-11 17:15:33,0
2020-06-12 08:51:28,0
2020-06-12 08:51:28,0
2020-06-12 08:56:04,0
2020-06-12 14:25:56,0
2020-06-12 14:25:56,0
2020-06-12 14:33:59,0
2020-06-13 08:19:36,0
2020-06-13 08:19:36,0
2020-06-13 08:25:38,0
2020-06-13 14:42:05,0
2020-06-13 14:42:05,0
2020-06-13 15:01:32,0
2020-06-14 08:00:41,0
2020-06-14 08:00:41,0
2020-06-14 08:03:45,0
2020-06-14 15:00:10,0
2020-06-14 15:00:10,0
2020-06-14 15:00:21,0
2020-06-15 08:21:37,0
2020-06-15 08:21:38,0
2020-06-15 08:33:06,0
2020-06-15 14:04:28,0
2020-06-15 14:04:28,0
2020-06-15 14:06:51,0
2020-06-16 09:13:15,0
2020-06-16 09:13:15,0
2020-06-16 09:13:19,0
2020-06-16 14:30:14,0
2020-06-16 14:30:14,0
2020-06-16 15:18:15,0
2020-06-17 09:36:38,0
2020-06-17 09:36:38,0
2020-06-17 09:47:31,0
2020-06-17 14:18:17,0
2020-06-17 14:18:18,0
2020-06-17 14:37:21,0
2020-06-18 07:47:33,0
2020-06-18 07:47:33,0
2020-06-18 09:38:06,0
2020-06-18 15:48:16,0
2020-06-18 15:48:17,0
2020-06-18 16:53:35,0
2020-06-19 09:31:02,0
2020-06-19 09:31:02,0
2020-06-19 09:53:27,0
2020-06-19 14:25:05,0
2020-06-19 14:25:05,0
2020-06-19 14:25:08,0
2020-06-20 08:38:08,0
2020-06-20 08:38:09,0
2020-06-20 08:42:31,0
2020-06-20 14:53:54,0
2020-06-20 14:53:54,0
2020-06-20 14:55:28,0
2020-06-21 08:12:46,0
2020-06-21 08:12:46,0
2020-06-21 08:15:20,0
2020-06-21 15:47:57,0
2020-06-21 15:47:57,0
2020-06-21 15:54:04,0
2020-06-22 07:47:25,0
2020-06-22 07:47:26,0
2020-06-22 07:56:15,0
2020-06-22 14:01:19,0
2020-06-22 14:01:19,0
2020-06-22 14:03:35,0
2020-06-23 07:16:06,0
2020-06-23 07:16:06,0
2020-06-23 07:24:01,0
2020-06-23 15:30:18,0
2020-06-23 15:30:18,0
2020-06-23 15:30:45,0
2020-06-24 08:50:51,0
2020-06-24 08:50:51,0
2020-06-24 08:57:17,0
2020-06-24 15:58:03,0
2020-06-24 15:58:04,0
2020-06-24 16:03:48,0
2020-06-25 08:27:15,0
