"Time","Aujourd'hui","Moyenne minute","Moyenne Heure"
2020-09-15 02:00:00,5417,404,488
2020-09-15 14:00:00,8435,330,350
2020-09-16 02:00:00,2012,321,312
2020-09-16 14:00:00,5651,467,481
2020-09-17 02:00:00,2487,450,433
2020-09-17 14:00:00,6472,391,397
2020-09-18 02:00:00,1887,351,321
2020-09-18 14:00:00,4928,246,275
2020-09-19 02:00:00,2553,606,589
2020-09-19 14:00:00,7980,324,345
2020-09-20 02:00:00,1727,250,246
2020-09-20 14:00:00,4667,450,445
2020-09-21 02:00:00,1742,280,278
2020-09-21 14:00:00,4536,293,304
2020-09-22 02:00:00,2523,486,481
2020-09-22 14:00:00,6604,315,317
2020-09-23 02:00:00,3404,749,724
2020-09-23 14:00:00,9355,420,419
2020-09-24 02:00:00,3373,833,695
2020-09-24 14:00:00,11269,513,627
2020-09-25 02:00:00,1832,278,272
2020-09-25 14:00:00,4456,291,295
2020-09-26 02:00:00,1893,339,321
2020-09-26 14:00:00,5917,373,394
2020-09-27 02:00:00,3352,785,766
2020-09-27 14:00:00,9616,398,404
2020-09-28 02:00:00,2037,348,341
2020-09-28 14:00:00,5538,425,433
2020-09-29 02:00:00,1657,257,239
2020-09-29 14:00:00,4306,373,378
2020-09-30 02:00:00,1667,234,235
2020-09-30 14:00:00,4213,328,330
2020-10-01 02:00:00,2633,658,517
2020-10-01 14:00:00,10096,523,645
2020-10-02 02:00:00,2805,704,663
2020-10-02 14:00:00,9927,471,522
2020-10-03 02:00:00,2123,473,418
2020-10-03 14:00:00,9014,873,904
2020-10-04 02:00:00,2080,283,274
2020-10-04 14:00:00,5882,477,477
2020-10-05 02:00:00,2286,518,468
2020-10-05 14:00:00,7811,441,474
2020-10-06 02:00:00,3891,958,862
2020-10-06 14:00:00,11638,328,432
2020-10-07 02:00:00,2213,358,359
2020-10-07 14:00:00,5600,358,359
2020-10-08 02:00:00,1747,275,269
2020-10-08 14:00:00,4991,452,458
2020-10-09 02:00:00,3162,754,664
2020-10-09 14:00:00,8977,283,350
2020-10-10 02:00:00,2626,565,487
2020-10-10 14:00:00,7904,379,447
2020-10-11 02:00:00,3532,912,850
2020-10-11 14:00:00,11464,518,532
2020-10-12 02:00:00,3097,696,682
2020-10-12 14:00:00,8466,293,290
2020-10-13 02:00:00,3028,681,638
2020-10-13 14:00:00,8646,330,347
2020-10-14 02:00:00,1816,256,251
2020-10-14 14:00:00,4671,472,468
2020-10-15 02:00:00,2006,328,317
2020-10-15 14:00:00,5506,398,395
2020-10-16 02:00:00,3715,734,699
2020-10-16 14:00:00,8802,288,298
2020-10-17 02:00:00,3022,560,527
2020-10-17 14:00:00,7556,443,450
2020-10-18 02:00:00,2812,623,599
2020-10-18 14:00:00,8719,747,736
2020-10-19 02:00:00,2085,277,278
2020-10-19 14:00:00,4609,317,317
2020-10-20 02:00:00,2041,424,503079
2020-10-20 14:00:00,6239,344,429
2020-10-21 02:00:00,2768,579,552
