"Time","Fenêtre Evier"
2020-05-05 09:59:24,0
2020-05-05 15:28:30,0
2020-05-05 15:28:30,0
2020-05-05 18:42:14,0
2020-05-06 20:00:27,1
2020-05-06 20:19:16,0
2020-05-06 20:19:16,0
2020-05-07 10:34:28,0
2020-05-07 10:34:28,0
2020-05-07 10:53:08,0
2020-05-07 18:31:27,1
2020-05-07 18:31:31,0
2020-05-07 18:31:31,0
2020-05-08 15:55:07,1
2020-05-08 15:55:12,0
2020-05-08 15:55:12,0
2020-05-09 13:29:33,1
2020-05-09 13:29:33,1
2020-05-09 14:36:52,0
2020-05-09 14:36:53,0
2020-05-09 20:54:22,0
2020-05-11 08:38:08,1
2020-05-11 08:38:08,1
2020-05-11 15:27:44,0
2020-05-11 15:27:44,0
2020-05-12 15:31:09,0
2020-05-12 15:31:09,0
2020-05-12 15:31:43,0
2020-05-13 20:54:14,1
2020-05-13 21:50:40,0
2020-05-13 21:50:41,0
2020-05-15 13:30:33,1
2020-05-15 14:47:43,0
2020-05-16 09:43:22,1
2020-05-16 09:43:41,0
2020-05-17 18:36:51,1
2020-05-17 18:37:19,0
2020-05-19 16:43:43,0
2020-05-19 16:43:43,0
2020-05-19 16:45:05,0
2020-05-20 10:44:39,0
2020-05-20 10:44:39,0
2020-05-20 11:07:13,0
2020-05-20 15:15:10,0
2020-05-20 15:15:10,0
2020-05-20 19:29:03,0
2020-05-21 08:01:55,1
2020-05-21 13:03:21,0
2020-05-21 13:03:22,0
2020-05-22 06:57:10,1
2020-05-22 06:57:11,1
2020-05-22 14:32:54,0
2020-05-22 14:32:54,0
2020-05-22 16:51:57,0
2020-05-23 07:24:21,1
2020-05-23 09:01:36,0
2020-05-23 09:01:36,0
2020-05-23 15:22:56,1
2020-05-23 16:08:46,0
2020-05-23 16:08:46,0
2020-05-24 07:39:14,0
2020-05-24 07:39:14,0
2020-05-24 09:45:40,0
2020-05-24 14:56:05,1
2020-05-24 14:56:40,0
2020-05-24 14:56:40,0
2020-05-25 11:17:43,0
2020-05-25 11:17:44,0
2020-05-25 11:18:27,0
2020-05-25 14:55:29,1
2020-05-25 14:55:32,0
2020-05-25 14:55:32,0
2020-05-26 18:41:05,1
2020-05-26 18:41:10,0
2020-05-26 18:41:10,0
2020-05-27 08:07:04,1
2020-05-27 10:39:31,0
2020-05-27 10:39:31,0
2020-05-27 15:06:45,0
2020-05-27 15:06:45,0
2020-05-27 16:28:46,0
2020-05-28 07:54:33,0
2020-05-28 07:54:33,0
2020-05-28 08:08:00,0
2020-05-28 15:05:03,1
2020-05-28 15:05:10,0
2020-05-28 15:05:10,0
2020-05-29 11:31:24,1
2020-05-29 12:12:45,0
2020-05-29 12:12:45,0
2020-05-29 20:49:28,1
2020-05-29 20:49:33,0
2020-05-29 20:49:33,0
2020-05-30 07:33:49,1
2020-05-30 09:09:08,0
2020-05-30 09:09:08,0
2020-06-01 08:41:43,1
2020-06-01 09:58:02,0
2020-06-01 09:58:03,0
2020-06-01 14:21:46,0
