"Time","Production chauffage"
2020-12-10 13:11:24,0
2020-12-10 13:11:24,0
2020-12-10 13:24:24,0
2020-12-10 15:41:33,1
2020-12-10 16:49:37,0
2020-12-10 16:49:37,0
2020-12-10 17:08:38,0
2020-12-10 17:08:38,0
2020-12-10 17:20:39,0
2020-12-10 19:12:45,0
2020-12-10 19:12:46,0
2020-12-10 19:27:46,0
2020-12-10 21:08:48,0
2020-12-10 21:08:48,0
2020-12-10 21:20:49,0
2020-12-10 23:05:56,0
2020-12-10 23:05:56,0
2020-12-10 23:33:57,0
2020-12-11 01:19:04,0
2020-12-11 01:19:04,0
2020-12-11 02:32:08,0
2020-12-11 03:14:11,0
2020-12-11 03:14:11,0
2020-12-11 03:53:13,0
2020-12-11 05:12:18,0
2020-12-11 05:12:18,0
2020-12-11 05:55:21,0
2020-12-11 07:13:25,0
2020-12-11 07:13:25,0
2020-12-11 07:46:27,0
2020-12-11 09:11:33,0
2020-12-11 09:11:33,0
2020-12-11 09:37:34,0
2020-12-11 11:34:42,0
2020-12-11 11:34:42,0
2020-12-11 11:48:42,0
2020-12-11 13:11:48,0
2020-12-11 13:11:48,0
2020-12-11 13:26:48,0
2020-12-11 18:54:09,1
2020-12-11 18:54:09,1
2020-12-11 19:48:12,0
2020-12-11 19:48:12,0
2020-12-11 21:59:20,1
2020-12-11 22:02:21,0
2020-12-11 22:02:21,0
2020-12-11 23:43:27,0
2020-12-11 23:43:27,0
2020-12-12 00:20:29,0
2020-12-12 01:11:32,0
2020-12-12 01:11:32,0
2020-12-12 01:35:34,0
2020-12-12 03:00:39,0
2020-12-12 03:00:39,0
2020-12-12 03:19:40,0
2020-12-12 05:04:46,0
2020-12-12 05:04:46,0
2020-12-12 05:16:47,0
2020-12-12 07:02:54,0
2020-12-12 07:02:54,0
2020-12-12 07:19:55,0
2020-12-12 09:04:01,0
2020-12-12 09:04:01,0
2020-12-12 09:27:02,0
2020-12-12 11:04:09,0
2020-12-12 11:04:09,0
2020-12-12 11:13:09,0
2020-12-12 13:01:16,0
2020-12-12 13:01:16,0
2020-12-12 13:16:17,0
2020-12-12 15:11:24,0
2020-12-12 15:11:24,0
2020-12-12 15:23:25,0
2020-12-12 17:11:31,0
2020-12-12 17:11:31,0
2020-12-12 17:27:32,0
2020-12-12 19:01:38,1
2020-12-12 19:07:38,0
2020-12-12 19:07:38,0
2020-12-12 23:15:54,1
2020-12-12 23:15:54,1
2020-12-13 01:14:01,0
2020-12-13 01:14:01,0
2020-12-13 01:31:03,0
2020-12-13 03:08:08,0
2020-12-13 03:08:09,0
2020-12-13 03:19:09,0
2020-12-13 05:00:15,0
2020-12-13 05:00:15,0
2020-12-13 05:11:16,0
2020-12-13 07:00:27,0
2020-12-13 07:00:27,0
2020-12-13 07:10:24,0
2020-12-13 09:08:31,0
2020-12-13 09:08:31,0
2020-12-13 09:18:32,0
2020-12-13 11:09:38,0
2020-12-13 11:09:38,0
2020-12-13 11:21:39,0
2020-12-13 13:06:46,0
2020-12-13 13:06:46,0
2020-12-13 13:20:47,0
2020-12-13 15:15:54,0
2020-12-13 15:15:54,0
2020-12-13 15:38:55,0
2020-12-13 17:05:01,0
2020-12-13 17:05:01,0
2020-12-13 17:18:01,0
2020-12-13 22:55:23,1
2020-12-13 22:55:23,1
2020-12-14 00:36:29,0
2020-12-14 00:36:29,0
2020-12-14 00:41:29,1
2020-12-14 01:03:31,0
2020-12-14 01:03:31,0
2020-12-14 01:15:31,0
2020-12-14 03:07:38,0
2020-12-14 03:07:38,0
2020-12-14 03:19:39,0
2020-12-14 05:01:45,0
2020-12-14 05:01:45,0
2020-12-14 05:41:48,0
2020-12-14 07:16:54,0
2020-12-14 07:16:54,0
2020-12-14 07:30:55,0
2020-12-14 09:15:01,0
2020-12-14 09:15:02,0
2020-12-14 09:20:02,0
2020-12-14 11:05:09,0
2020-12-14 11:05:09,0
2020-12-14 11:14:09,0
2020-12-14 16:12:28,0
2020-12-14 16:12:28,0
2020-12-14 16:31:30,0
2020-12-14 17:02:31,0
2020-12-14 17:02:32,0
2020-12-14 17:16:32,0
2020-12-14 19:06:39,1
2020-12-14 19:10:40,0
2020-12-14 19:10:40,0
2020-12-14 22:26:52,1
2020-12-14 22:26:52,1
2020-12-14 23:52:57,0
2020-12-14 23:52:58,0
2020-12-15 00:18:59,0
2020-12-15 01:07:03,0
2020-12-15 01:07:03,0
2020-12-15 01:21:03,0
2020-12-15 03:02:10,0
2020-12-15 03:02:10,0
2020-12-15 03:13:10,0
2020-12-15 05:02:17,0
2020-12-15 05:02:17,0
2020-12-15 05:30:19,0
2020-12-15 07:02:25,0
2020-12-15 07:02:25,0
2020-12-15 07:10:25,0
2020-12-15 09:04:33,0
2020-12-15 09:04:33,0
2020-12-15 09:16:34,0
2020-12-15 14:52:55,1
2020-12-15 14:52:55,1
2020-12-15 15:23:57,0
2020-12-15 15:23:57,0
2020-12-15 15:50:59,0
2020-12-15 22:36:25,1
2020-12-15 22:36:25,1
2020-12-15 23:16:27,0
2020-12-15 23:16:27,0
2020-12-15 23:42:29,0
2020-12-16 01:10:34,0
2020-12-16 01:10:34,0
2020-12-16 01:21:35,0
2020-12-16 03:04:42,0
2020-12-16 03:04:42,0
2020-12-16 03:16:42,0
2020-12-16 05:02:49,0
2020-12-16 05:02:49,0
2020-12-16 05:27:51,0
2020-12-16 07:27:58,0
2020-12-16 07:27:58,0
2020-12-16 07:34:59,0
2020-12-16 09:08:05,0
2020-12-16 09:08:05,0
2020-12-16 09:22:06,0
2020-12-16 14:35:26,1
2020-12-16 14:59:27,0
2020-12-16 14:59:27,0
2020-12-16 15:12:28,0
2020-12-16 15:12:28,0
2020-12-16 15:30:29,0
2020-12-16 20:57:03,1
2020-12-16 20:57:03,1
2020-12-16 22:04:07,0
2020-12-16 22:04:07,0
2020-12-16 22:24:08,0
2020-12-16 23:08:11,0
2020-12-16 23:08:11,0
2020-12-16 23:25:12,0
2020-12-17 01:09:18,0
2020-12-17 01:09:18,0
2020-12-17 01:20:19,0
2020-12-17 03:07:26,0
2020-12-17 03:07:26,0
2020-12-17 03:17:26,0
2020-12-17 05:01:33,0
2020-12-17 05:01:33,0
2020-12-17 05:34:35,0
2020-12-17 07:04:41,0
2020-12-17 07:04:41,0
2020-12-17 07:11:41,0
2020-12-17 09:08:48,0
2020-12-17 09:08:48,0
2020-12-17 09:15:49,0
2020-12-17 11:16:57,0
2020-12-17 11:16:57,0
2020-12-17 11:28:58,0
2020-12-17 13:20:05,0
2020-12-17 13:20:05,0
2020-12-17 13:40:06,0
2020-12-17 22:20:39,1
2020-12-17 22:20:39,1
2020-12-17 23:00:41,0
2020-12-17 23:00:41,0
2020-12-17 23:26:43,0
2020-12-18 01:01:49,0
2020-12-18 01:01:49,0
2020-12-18 01:09:49,0
2020-12-18 03:09:57,0
2020-12-18 03:09:57,0
2020-12-18 03:19:57,0
2020-12-18 05:29:06,0
2020-12-18 05:29:06,0
2020-12-18 05:40:06,0
2020-12-18 07:28:13,0
2020-12-18 07:28:13,0
2020-12-18 07:40:14,0
2020-12-18 09:04:19,0
2020-12-18 09:04:19,0
2020-12-18 09:17:20,0
2020-12-18 16:28:47,1
2020-12-18 16:48:49,0
2020-12-18 16:48:49,0
2020-12-18 17:06:50,0
2020-12-18 17:06:50,0
2020-12-18 17:25:51,0
2020-12-18 19:04:57,0
2020-12-18 19:04:57,0
2020-12-18 19:14:58,0
2020-12-18 21:14:05,0
2020-12-18 21:14:05,0
2020-12-18 21:29:06,0
2020-12-18 23:07:12,0
2020-12-18 23:07:12,0
2020-12-18 23:17:13,0
2020-12-19 01:02:19,0
2020-12-19 01:02:19,0
2020-12-19 01:11:20,0
2020-12-19 03:05:27,0
2020-12-19 03:05:27,0
2020-12-19 03:15:27,0
2020-12-19 05:04:34,0
2020-12-19 05:04:34,0
2020-12-19 05:19:35,0
2020-12-19 07:04:42,0
2020-12-19 07:04:42,0
2020-12-19 07:26:43,0
2020-12-19 09:19:51,0
2020-12-19 09:19:51,0
2020-12-19 09:40:52,0
2020-12-19 11:17:58,0
2020-12-19 11:17:58,0
2020-12-19 11:29:59,0
2020-12-19 16:05:16,0
2020-12-19 16:05:17,0
2020-12-19 16:19:17,0
2020-12-19 17:00:20,1
2020-12-19 17:04:20,0
2020-12-19 17:04:20,0
2020-12-19 22:27:41,1
2020-12-19 22:27:41,1
2020-12-19 23:22:44,0
2020-12-19 23:22:44,0
2020-12-19 23:38:45,0
2020-12-20 01:02:51,0
2020-12-20 01:02:51,0
2020-12-20 01:10:51,0
2020-12-20 03:10:59,0
2020-12-20 03:10:59,0
2020-12-20 03:20:59,0
2020-12-20 05:02:06,0
2020-12-20 05:02:06,0
2020-12-20 05:12:06,0
2020-12-20 07:02:13,0
2020-12-20 07:02:13,0
2020-12-20 07:11:14,0
2020-12-20 09:03:21,0
2020-12-20 09:03:21,0
2020-12-20 09:23:22,0
2020-12-20 20:34:04,0
2020-12-20 20:34:04,0
2020-12-20 20:50:05,0
2020-12-20 21:17:07,0
2020-12-20 21:17:07,0
2020-12-20 21:28:08,0
2020-12-20 23:01:18,0
2020-12-20 23:01:18,0
2020-12-20 23:15:14,0
2020-12-21 01:08:21,0
2020-12-21 01:08:21,0
2020-12-21 01:18:22,0
2020-12-21 03:05:28,0
2020-12-21 03:05:28,0
2020-12-21 03:14:29,0
2020-12-21 05:02:36,0
2020-12-21 05:02:36,0
2020-12-21 05:34:37,0
2020-12-21 07:02:43,0
2020-12-21 07:02:43,0
2020-12-21 07:23:44,0
2020-12-21 09:36:53,0
2020-12-21 09:36:53,0
2020-12-21 09:47:54,0
2020-12-21 18:12:25,0
2020-12-21 18:12:26,0
2020-12-21 18:18:26,0
2020-12-21 19:05:29,0
2020-12-21 19:05:29,0
2020-12-21 19:39:31,0
2020-12-21 21:02:36,0
2020-12-21 21:02:36,0
2020-12-21 21:14:37,0
2020-12-21 23:08:44,0
2020-12-21 23:08:44,0
2020-12-21 23:17:45,0
2020-12-22 01:04:52,0
2020-12-22 01:04:52,0
2020-12-22 01:18:53,0
2020-12-22 03:04:59,0
2020-12-22 03:05:00,0
2020-12-22 03:14:00,0
2020-12-22 05:02:07,0
2020-12-22 05:02:07,0
2020-12-22 05:33:09,0
2020-12-22 07:07:15,0
2020-12-22 07:07:15,0
2020-12-22 07:25:16,0
2020-12-22 09:13:23,0
2020-12-22 09:13:23,0
2020-12-22 09:29:24,0
2020-12-22 11:13:30,0
2020-12-22 11:13:30,0
2020-12-22 11:58:33,0
2020-12-22 14:36:43,0
2020-12-22 14:36:43,0
2020-12-22 14:50:44,0
2020-12-22 18:53:59,1
2020-12-22 18:59:00,0
2020-12-22 18:59:00,0
2020-12-22 19:51:03,1
2020-12-22 19:53:03,0
2020-12-22 19:53:03,0
2020-12-22 21:31:10,0
2020-12-22 21:31:10,0
2020-12-22 21:45:10,0
2020-12-22 23:05:15,0
2020-12-22 23:05:15,0
2020-12-22 23:13:15,0
2020-12-23 01:05:21,0
2020-12-23 01:05:22,0
2020-12-23 01:14:22,0
2020-12-23 03:14:30,0
2020-12-23 03:14:30,0
2020-12-23 03:25:30,0
2020-12-23 05:34:38,0
2020-12-23 05:34:39,0
2020-12-23 05:46:39,0
2020-12-23 07:23:45,0
2020-12-23 07:23:45,0
2020-12-23 07:34:46,0
2020-12-23 12:40:06,0
2020-12-23 12:40:06,0
2020-12-23 12:59:07,0
2020-12-23 13:09:08,0
2020-12-23 13:09:08,0
2020-12-23 13:25:09,0
2020-12-23 22:45:44,0
2020-12-23 22:45:44,0
2020-12-23 22:58:45,0
2020-12-23 23:09:46,0
2020-12-23 23:09:46,0
2020-12-23 23:21:47,0
2020-12-24 01:02:53,0
2020-12-24 01:02:53,0
2020-12-24 01:12:54,0
2020-12-24 03:05:01,0
2020-12-24 03:05:01,0
2020-12-24 03:15:02,0
2020-12-24 05:30:10,0
2020-12-24 05:30:10,0
2020-12-24 05:42:11,0
2020-12-24 07:03:16,0
2020-12-24 07:03:16,0
2020-12-24 07:16:17,0
2020-12-24 09:25:25,1
2020-12-24 09:28:25,0
2020-12-24 09:28:25,0
2020-12-24 15:54:46,0
2020-12-24 15:54:46,0
2020-12-24 16:08:47,0
2020-12-24 17:08:51,0
2020-12-24 17:08:51,0
2020-12-24 17:19:51,0
2020-12-24 19:48:01,1
2020-12-24 19:51:01,0
2020-12-24 19:51:01,0
2020-12-25 00:30:41,1
2020-12-25 00:30:41,1
2020-12-25 02:04:47,0
2020-12-25 02:04:47,0
2020-12-25 02:23:48,0
2020-12-25 03:01:50,0
2020-12-25 03:01:50,0
2020-12-25 03:15:51,0
2020-12-25 05:02:58,0
2020-12-25 05:02:58,0
2020-12-25 05:31:59,0
2020-12-25 07:02:05,0
2020-12-25 07:02:05,0
2020-12-25 07:11:06,0
2020-12-25 09:17:19,0
2020-12-25 09:17:19,0
2020-12-25 09:28:19,0
2020-12-25 11:13:21,0
2020-12-25 11:13:21,0
2020-12-25 11:29:22,0
2020-12-25 13:04:28,0
2020-12-25 13:04:28,0
2020-12-25 13:22:29,0
2020-12-25 15:17:37,0
2020-12-25 15:17:37,0
2020-12-25 15:29:38,0
2020-12-25 17:09:44,0
2020-12-25 17:09:44,0
2020-12-25 17:36:46,0
2020-12-25 19:22:52,0
2020-12-25 19:22:52,0
2020-12-25 19:34:53,0
2020-12-25 21:00:58,0
2020-12-25 21:00:58,0
2020-12-25 21:12:59,0
2020-12-25 23:11:07,0
2020-12-25 23:11:07,0
2020-12-25 23:30:08,0
2020-12-26 01:01:14,0
2020-12-26 01:01:14,0
2020-12-26 01:23:19,0
2020-12-26 03:28:23,0
2020-12-26 03:28:23,0
2020-12-26 03:59:25,0
2020-12-26 05:02:29,0
2020-12-26 05:02:29,0
2020-12-26 06:02:33,0
2020-12-26 07:18:37,0
2020-12-26 07:18:37,0
2020-12-26 07:40:39,0
2020-12-26 09:11:45,0
2020-12-26 09:11:45,0
2020-12-26 09:27:46,0
2020-12-26 11:04:52,0
2020-12-26 11:04:52,0
2020-12-26 11:12:53,0
2020-12-26 13:02:00,0
2020-12-26 13:02:00,0
2020-12-26 13:20:01,0
2020-12-26 15:00:07,0
2020-12-26 15:00:07,0
2020-12-26 15:12:08,0
2020-12-26 17:00:15,0
2020-12-26 17:00:15,0
2020-12-26 17:06:15,0
2020-12-26 19:09:23,0
2020-12-26 19:09:23,0
2020-12-26 19:17:24,0
2020-12-26 21:09:31,0
2020-12-26 21:09:31,0
2020-12-26 21:25:32,0
2020-12-27 08:05:12,0
2020-12-27 08:05:12,0
2020-12-27 08:09:12,1
2020-12-27 09:12:16,0
2020-12-27 09:12:16,0
2020-12-27 09:39:18,0
2020-12-27 11:20:25,0
2020-12-27 11:20:25,0
2020-12-27 11:47:26,0
2020-12-27 13:04:31,0
2020-12-27 13:04:31,0
2020-12-27 13:12:32,0
2020-12-27 15:01:39,0
2020-12-27 15:01:39,0
2020-12-27 15:17:40,0
2020-12-27 17:08:47,0
2020-12-27 17:08:47,0
2020-12-27 17:21:48,0
2020-12-27 21:28:03,1
2020-12-27 21:28:03,1
2020-12-27 23:02:09,0
2020-12-27 23:02:09,0
2020-12-27 23:45:12,0
2020-12-28 01:03:17,0
2020-12-28 01:03:17,0
2020-12-28 01:14:18,0
2020-12-28 03:07:25,0
2020-12-28 03:07:25,0
2020-12-28 03:21:26,0
2020-12-28 05:01:32,0
2020-12-28 05:01:32,0
2020-12-28 05:34:34,0
2020-12-28 07:01:39,0
2020-12-28 07:01:39,0
2020-12-28 07:16:40,0
2020-12-28 09:10:47,0
2020-12-28 09:10:47,0
2020-12-28 09:29:49,0
2020-12-28 11:10:55,0
2020-12-28 11:10:55,0
2020-12-28 11:23:56,0
2020-12-28 13:09:03,0
2020-12-28 13:09:03,0
2020-12-28 13:40:05,0
2020-12-28 15:20:11,0
2020-12-28 15:20:12,0
2020-12-28 15:40:13,0
2020-12-28 22:10:37,1
2020-12-28 22:10:37,1
2020-12-28 23:45:43,0
2020-12-28 23:45:43,0
2020-12-29 00:18:45,0
2020-12-29 01:04:48,0
2020-12-29 01:04:48,0
2020-12-29 01:22:49,0
2020-12-29 03:00:55,0
2020-12-29 03:00:55,0
2020-12-29 03:09:56,0
2020-12-29 05:32:04,0
2020-12-29 05:32:04,0
2020-12-29 05:44:05,0
2020-12-29 07:06:10,0
2020-12-29 07:06:10,0
2020-12-29 07:17:11,0
2020-12-29 09:12:18,0
2020-12-29 09:12:18,0
2020-12-29 09:26:19,0
2020-12-29 13:57:36,0
2020-12-29 13:57:36,0
2020-12-29 14:12:38,0
2020-12-29 15:34:43,0
2020-12-29 15:34:43,0
2020-12-29 15:47:44,0
2020-12-29 17:12:49,0
2020-12-29 17:12:49,0
2020-12-29 17:28:50,0
2020-12-29 19:12:57,0
2020-12-29 19:12:57,0
2020-12-29 19:39:58,0
2020-12-29 21:16:05,0
2020-12-29 21:16:05,0
2020-12-29 21:28:05,0
2020-12-29 23:04:12,0
2020-12-29 23:04:12,0
